time,pressure,pressure_smooth
0,0.0,0.0
10,0.0,0.0
20,0.0,0.0
30,0.0,0.0
40,0.0,0.0
50,0.0,0.0
60,0.0,0.0
70,0.0,0.0
80,0.0,0.0
90,0.0,0.0
100,0.0,0.0
110,0.0,0.0
120,0.0,0.0
130,0.0,0.0
140,0.0,0.0
150,0.0,0.0
160,0.0,0.0
170,0.0,0.0
180,0.0,0.0
190,0.0,0.0
200,0.0,0.0
210,0.0,0.0
220,0.0,0.0
230,0.0,0.0
240,0.0,0.0
250,0.0,0.0
260,0.0,0.0
270,0.0,0.0
280,0.0,0.0
290,0.0,0.0
300,0.0,0.0
310,0.0,0.0
320,0.0,0.0
330,0.0,0.0
340,0.0,0.0
350,0.0,0.0
360,0.0,0.0
370,0.0,0.0
380,0.0,0.0
390,0.0,0.0
400,0.0,0.0
410,0.0,0.0
420,0.0,0.0
430,0.0,0.0
440,0.0,0.0
450,0.0,0.0
460,0.0,0.0
470,0.0,0.0
480,0.0,0.0
490,0.0,0.0
500,0.0,0.0
510,0.0,0.0
520,0.0,0.0
530,0.0,0.0
540,0.0,0.0
550,0.0,0.0
560,0.0,0.0
570,0.0,0.0
580,0.0,0.0
590,0.0,0.0
600,0.0,0.0
610,0.0,0.0
620,0.0,0.0
630,0.0,0.0
640,0.0,0.0
650,0.0,0.0
660,0.0,0.0
670,0.0,0.0
680,0.0,0.0
690,0.0,0.0
700,0.0,0.0
710,0.0,0.0
720,0.0,0.0
730,0.0,0.0
740,0.0,0.0
750,0.0,0.0
760,0.0,0.0
770,0.0,0.0
780,0.0,0.0
790,0.0,0.03377622377622388
800,0.0,0.0
810,0.0,0.0
820,0.0,0.0
830,0.0,0.0
840,-0.4025,0.0
850,0.0,0.0
860,0.0,0.0
870,-0.4025,0.0
880,-0.4025,0.0
890,0.0,0.0
900,-0.4025,0.0
910,-0.4025,0.0
920,-0.4025,0.0
930,-0.4025,0.0
940,-0.4025,0.0
950,0.0,0.0
960,0.0,0.3525990675990682
970,1.2125,1.2290034965034995
980,2.0175,2.504341491841498
990,4.44,4.16911421911423
1000,6.0525,6.12342657342659
1010,8.4725,8.373030303030323
1020,10.895,10.781148018648047
1030,13.315,13.360868298368333
1040,15.735,15.908414918414962
1050,18.56,18.559667832167882
1060,21.3825,21.142803030303085
1070,23.805,23.70711538461545
1080,26.225,26.301899766899837
1090,28.645,28.82309440559448
1100,31.065,31.18635198135206
1110,33.4875,33.4113170163171
1120,35.9075,35.51206293706303
1130,37.52,37.51325174825185
1140,39.135,39.30569347319358
1150,40.7475,40.9615442890444
1160,42.3625,42.39560606060617
1170,43.975,43.713257575757694
1180,44.7825,44.9048484848486
1190,45.9925,45.913613053613176
1200,46.3975,46.56912004662017
1210,47.2025,46.841048951049075
1220,47.2025,47.02450466200479
1230,47.2025,47.09518065268077
1240,46.3975,46.989889277389395
1250,46.3975,46.79333333333345
1260,47.2025,46.49926573426586
1270,46.3975,46.26328088578101
1280,45.9925,46.12317599067612
1290,45.59,45.89631118881131
1300,45.59,45.688566433566564
1310,45.59,45.501614219114344
1320,45.59,45.391392773892896
1330,44.7825,45.26237762237774
1340,45.59,44.93313519813532
1350,44.7825,44.63761072261084
1360,43.975,44.36299533799546
1370,43.975,44.01323426573438
1380,43.17,43.66356060606073
1390,43.975,43.217919580419704
1400,43.17,43.03953379953391
1410,42.3625,42.879883449883565
1420,42.3625,42.49044871794882
1430,42.3625,42.23445221445232
1440,42.3625,41.91263403263414
1450,41.555,41.667779720279825
1460,40.7475,41.42333916083928
1470,41.555,40.998344988345096
1480,40.7475,40.53579254079265
1490,39.9425,40.11091491841502
1500,39.9425,39.9344696969698
1510,39.135,39.537709790209895
1520,39.135,39.13139277389288
1530,39.135,38.85851398601409
1540,39.135,38.50631701631712
1550,37.52,38.267266899767
1560,38.3275,38.09409673659684
1570,37.52,37.90576340326351
1580,37.52,37.79944055944066
1590,38.3275,37.70346736596747
1600,37.52,37.67546037296047
1610,37.52,37.160087412587515
1620,37.1175,36.96102564102574
1630,36.31,36.504120046620145
1640,35.9075,36.13377039627049
1650,35.1,35.97414918414928
1660,36.715,35.7765268065269
1670,35.1,35.531905594405686
1680,35.9075,35.28289044289053
1690,35.1,34.933892773892865
1700,34.2925,34.53429487179497
1710,33.4875,33.869353146853236
1720,33.4875,33.42463869463878
1730,33.0825,32.90269230769239
1740,32.68,32.60064685314694
1750,31.8725,32.24033799533808
1760,31.8725,31.89882284382293
1770,31.8725,31.482400932401013
1780,31.065,31.033991841491925
1790,30.26,30.470792540792626
1800,30.26,29.99798951048959
1810,29.4525,29.48721445221453
1820,28.645,29.016054778554853
1830,28.2425,28.61262820512828
1840,28.645,28.084825174825248
1850,27.8375,27.529055944056015
1860,27.0325,27.04083916083923
1870,26.225,26.496357808857876
1880,25.4175,25.839026806526874
1890,25.4175,25.09817016317023
1900,24.61,24.449114219114282
1910,23.805,23.77185314685321
1920,22.9975,23.04791958041964
1930,22.19,22.258164335664393
1940,21.3825,21.383438228438283
1950,20.5775,20.576561771561828
1960,19.77,19.769597902097956
1970,18.9625,18.962902097902145
1980,18.155,18.08838578088583
1990,17.35,17.29818764568769
2000,16.5425,16.57384032634037
2010,15.735,15.829114219114262
2020,14.9275,15.197325174825215
2030,14.9275,14.572948717948757
2040,14.1225,14.070687645687682
2050,13.315,13.566724941724978
2060,13.315,13.156579254079286
2070,12.5075,12.765372960372993
2080,12.5075,12.249935897435929
2090,11.7,11.858613053613084
2100,11.7,11.38100233100236
2110,10.895,10.894009324009353
2120,10.0875,10.474539627039654
2130,10.0875,9.912191142191169
2140,9.28,9.455308857808884
2150,9.28,8.960722610722634
2160,8.4725,8.456550116550138
2170,7.6675,7.903677156177176
2180,7.6675,7.379009324009344
2190,6.86,6.891899766899786
2200,6.0525,6.383939393939412
2210,6.0525,6.016946386946403
2220,6.0525,5.781241258741273
2230,5.245,5.497068764568779
2240,5.245,5.307214452214466
2250,5.245,5.183385780885795
2260,5.245,4.926002331002344
2270,4.44,4.726998834498847
2280,4.44,4.490320512820524
2290,4.44,4.119912587412598
2300,3.6325,3.8077097902098003
2310,3.6325,3.4576573426573516
2320,2.825,3.144988344988353
2330,2.825,2.7741783216783293
2340,2.825,2.4692482517482586
2350,2.0175,2.286666666666673
2360,2.0175,2.111614219114225
2370,2.0175,2.083275058275064
2380,2.0175,2.0257867132867187
2390,2.0175,1.8915675990676042
2400,2.0175,1.87019813519814
2410,2.0175,1.8767657342657393
2420,1.615,1.8270396270396319
2430,1.2125,1.7397843822843868
2440,2.0175,1.633764568764573
2450,2.0175,1.595506993006997
2460,1.2125,1.4913111888111927
2470,1.2125,1.3587645687645722
2480,1.2125,1.1500757575757605
2490,1.2125,0.8418473193473215
2500,0.405,0.6914219114219132
2510,0.405,0.5923659673659689
2520,0.405,0.42094988344988454
2530,0.405,0.2729895104895112
2540,0.405,0.17674825174825223
2550,0.0,0.16048951048951093
2560,0.0,0.0811888111888114
2570,0.0,0.01604895104895107
2580,0.0,0.0
2590,0.0,0.0
2600,0.0,0.0
2610,0.0,0.0
2620,0.0,0.0
2630,0.0,0.0
2640,0.0,0.0
2650,0.0,0.0
2660,0.0,0.0
2670,0.0,0.0
2680,0.0,0.0
2690,0.0,0.0
2700,0.0,0.0
2710,0.0,0.0
2720,0.0,0.0
2730,0.0,0.0
2740,0.0,0.0
2750,0.0,0.0
2760,0.0,0.0
2770,0.0,0.0
2780,0.0,0.0
2790,0.0,0.0
2800,0.0,0.0
2810,0.0,0.0
2820,0.0,0.0
2830,0.0,0.0
2840,0.0,0.0
2850,0.0,0.0
2860,0.0,0.0
2870,0.0,0.0
2880,0.0,0.0
2890,0.0,0.0
2900,0.0,0.0
2910,0.0,0.0
2920,0.0,0.0
2930,0.0,0.0
2940,0.0,0.0
2950,0.0,0.0
2960,0.0,0.0
2970,0.0,0.0
2980,0.0,0.0
2990,0.0,0.0
